apartment,area,date,decoration,lift,location1,location2,location3,month,orientation,price,underground,unit,village
2室1厅1厨1卫,54.75,2020-03-18,精装,无,长宁,中山公园,内环内,202003,南,390,近2号线江苏路站,71233,民心小区
2室1厅1厨1卫,43.39,2020-04-07,毛坯,无,静安,彭浦,中环至外环,202004,南,246,近1号线共康路站,56696,康平小区
2室1厅1厨1卫,55,2020-04-08,精装,无,浦东,杨思前滩,内环至中环,202004,南,280,,50910,南杨小区(长清路)
2室1厅1厨1卫,50.54,2020-04-13,简装,无,普陀,真如,内环至中环,202004,南,258,,51049,信仪新村
2室1厅1厨1卫,67.88,2019-06-23,简装,无,浦东,金桥,中环至外环,201906,南,310,近12号线杨高北路站,45669,东陆新村六街坊
2室1厅1厨1卫,67.45,2020-03-25,简装,无,闵行,莘庄,,202003,南,283,近12号线七莘路站,41958,黎安一村
3室1厅1厨1卫,86.88,2020-04-09,精装,无,奉贤,南桥,外环外,202004,南,152,,17496,江海二村(奉贤)
2室1厅1厨1卫,55.1,2020-03-18,精装,无,黄浦,蓬莱公园,内环内,202003,南,426,近4号线西藏南路站,77314,保屯路50弄
2室2厅0厨1卫,79.42,2020-04-08,毛坯,有,宝山,顾村,外环外,202004,南 北,275,近7号线刘行站,34627,菊泉新城(陆翔路698弄)
3室2厅1厨1卫,89,2020-01-11,毛坯,暂无数据,嘉定,安亭,外环外,202001,南,293,,32922,上海派
2室1厅1厨1卫,57.23,2020-04-07,简装,无,徐汇,徐家汇,内环内,202004,南,438,近4号线上海体育场站,76534,宛平南路268弄
2室1厅1厨1卫,62.26,2020-04-11,简装,无,徐汇,华泾,中环至外环,202004,南,300,,48186,华发小区
2室2厅1厨1卫,82.7,2020-03-29,精装,有,浦东,北蔡,内环至中环,202003,南,660,近13号线下南路站,79807,大华锦绣华城(十八街区)(公寓)
2室1厅1厨1卫,71.37,2020-04-02,精装,无,宝山,大华,内环至中环,202004,南,368,近7号线大华三路站,51563,大华一村
2室1厅1厨1卫,58.2,2020-04-09,简装,无,嘉定,南翔,外环外,202004,南,210,,36083,德华一村
2室1厅1厨1卫,67.42,2020-04-10,精装,无,浦东,金杨,内环至中环,202004,南,335,近6号线德平路站,49689,罗山三村
1室1厅0厨1卫,46.56,2020-04-05,毛坯,无,浦东,川沙,外环外,202004,南,180,近2号线川沙站,38660,河滨小区
1室1厅1厨1卫,34.59,2020-04-08,毛坯,无,静安,闸北公园,内环至中环,202004,南,205,近8号线西藏北路站,59266,三阳小区
2室1厅1厨1卫,75.91,2020-04-01,精装,有,宝山,顾村,外环外,202004,南 北,360,近7号线顾村公园站,47425,文宝苑
2室1厅0厨1卫,75.42,2020-03-26,简装,有,虹口,临平路,内环内,202003,南,480,近4号线临平路站,63644,远虹大厦
3室2厅1厨2卫,121.88,2019-12-02,精装,有,黄浦,董家渡,内环内,201912,南 北,975,近9号线小南门站,79997,明日星城（一期）
2室2厅1厨1卫,84.28,2020-01-31,精装,有,宝山,顾村,,202001,南,425,近7号线刘行站,50428,保利叶语(二期)(公寓)
2室1厅1厨1卫,63.32,2020-04-09,精装,无,浦东,金杨,内环至中环,202004,南,410,近9号线蓝天路站,64751,金杨六街坊
3室2厅1厨2卫,116.33,2020-02-20,精装,有,闵行,七宝,外环外,202002,西北,515,近9号线七宝站,44271,万科城市花园
2室1厅1厨1卫,67.19,2020-03-10,简装,无,闵行,梅陇,中环至外环,202003,南,345,,51347,盛源花园
3室1厅1厨2卫,89.52,2020-03-10,精装,有,浦东,高行,中环至外环,202003,南,680,近6号线洲海路站,75961,金地未未来
2室1厅1厨1卫,76.86,2019-10-03,精装,有,浦东,杨思前滩,内环至中环,201910,南,390,,50742,三林世博家园(板泉路2101弄)
2室1厅1厨1卫,84.66,2020-02-20,精装,有,闵行,颛桥,外环外,202002,南,340,,40161,君莲小区
2室1厅0厨1卫,63.25,2019-07-21,精装,无,浦东,金桥,中环至外环,201907,南,342,近6号线博兴路站,54072,蓝城小区
2室2厅1厨1卫,87,2020-02-04,精装,暂无数据,浦东,万祥镇,外环外,202002,南 北,189,,21725,凯德新视界(一期)
2室1厅1厨1卫,47.79,2020-01-18,精装,无,徐汇,建国西路,内环内,202001,南,600,近9号线嘉善路站,125550,建国西路233弄
1室1厅1厨1卫,38.68,2019-10-24,精装,无,浦东,世博,内环至中环,201910,南,228,,58946,恒大小区
2室2厅1厨1卫,66.01,2019-06-09,毛坯,无,浦东,合庆,外环外,201906,南,170,,25754,环庆新苑
2室2厅1厨2卫,106.55,2020-04-06,简装,有,黄浦,五里桥,内环内,202004,南,970,近13号线世博会博物馆站,91038,德福苑
2室1厅1厨1卫,60.17,2020-04-03,精装,有,黄浦,蓬莱公园,内环内,202004,南,648,近4号线南浦大桥站,107695,中福浦江汇
3室2厅1厨2卫,117.74,2020-04-11,精装,有,浦东,惠南,外环外,202004,南 北,435,,36946,华钜御庭(三期)(公寓)
2室1厅0厨1卫,77.17,2020-02-26,毛坯,有,嘉定,安亭,外环外,202002,南 北,258,,33433,上海派
2室1厅1厨1卫,63.36,2020-04-08,简装,无,闵行,古美,中环至外环,202004,南,328,近12号线虹莘路站,51768,平吉二村
3室2厅1厨2卫,120.57,2020-04-08,简装,无,静安,大宁,内环至中环,202004,南 北,710,,58887,嘉茵苑
1室1厅1厨1卫,33.52,2020-04-06,简装,无,杨浦,周家嘴路,内环至中环,202004,南,170,近12号线宁国路站,50716,幸福村小区
1室2厅1厨1卫,58.43,2019-12-28,精装,有,普陀,武宁,内环内,201912,南,499,,85402,新湖明珠城
2室1厅1厨1卫,85.84,2020-01-04,精装,有,杨浦,东外滩,内环内,202001,南,720,,83877,圣骊河滨苑
2室2厅1厨2卫,127.58,2019-03-24,精装,有,静安,曹家渡,内环内,201903,南 北,968,,75874,达安花园
2室2厅1厨1卫,86.77,2020-03-24,简装,无,浦东,曹路,外环外,202003,南 北,339,近9号线顾唐路站,39069,新芳邻
3室2厅1厨2卫,122.07,2019-09-29,精装,无,闵行,莘庄,,201909,南 北,619,,50709,阳明国际花苑四期
1室0厅1厨1卫,33.9,2020-04-10,精装,无,杨浦,鞍山,内环内,202004,南,230,近8号线江浦路站,67847,鞍山一村
2室1厅0厨1卫,74.26,2020-03-28,精装,有,闵行,浦江,外环外,202003,南 北,258,近浦江线闵瑞路站,34743,浦江丽都
2室1厅1厨1卫,47.77,2020-04-08,简装,无,普陀,光新,内环至中环,202004,南,300,近3号线镇坪路站,62801,太浜巷小区
2室2厅1厨1卫,64.72,2020-03-20,精装,无,浦东,川沙,外环外,202003,南,228,近2号线川沙站,35229,南桥小区
2室0厅1厨1卫,49.1,2020-04-08,精装,无,浦东,潍坊,内环内,202004,南,445,近4号线浦电路站,90632,潍坊十村
1室1厅1厨1卫,47.4,2020-03-11,简装,有,静安,大宁,内环至中环,202003,南,455,近1号线延长路站,95992,大宁龙盛雅苑
1室1厅1厨1卫,55.55,2020-03-20,精装,无,浦东,北蔡,内环至中环,202003,南 北,355,近7号线锦绣路站,63907,锦博苑
3室2厅1厨2卫,135.8,2020-01-12,精装,有,闵行,莘庄,外环外,202001,南,488,,35936,上海康城
2室2厅1厨1卫,90.12,2020-03-07,精装,有,宝山,共康,中环至外环,202003,南 北,565,近1号线通河新村站,62695,宝宸怡景园
2室1厅1厨1卫,75.52,2020-01-05,精装,有,普陀,武宁,内环内,202001,南,610,近3号线镇坪路站,80774,新湖明珠城
2室0厅1厨1卫,56.82,2020-04-10,简装,无,杨浦,周家嘴路,内环至中环,202004,南,340,近8号线黄兴路站,59839,控江路1039弄
2室2厅1厨1卫,66.15,2019-11-07,精装,有,杨浦,鞍山,内环内,201911,南 北,505,近8号线鞍山新村站,76342,恒阳花苑
3室2厅1厨2卫,112.2,2020-04-02,精装,无,嘉定,嘉定老城,外环外,202004,南 北,300,,26738,叶城二街坊
2室2厅1厨2卫,111.83,2019-11-25,简装,有,闵行,七宝,外环外,201911,南,738,,65994,东方花园三期
1室1厅1厨1卫,53.71,2020-03-25,精装,无,长宁,中山公园,内环内,202003,南,335,近2号线江苏路站,62372,长宁路234弄
2室2厅1厨1卫,95.91,2020-03-28,精装,有,浦东,高行,中环至外环,202003,南,550,,57346,东方城市华庭
2室1厅1厨1卫,67.11,2020-03-23,简装,无,闵行,颛桥,外环外,202003,南,276,,41127,贵峰苑
2室1厅1厨1卫,67.67,2020-04-01,毛坯,无,浦东,周浦,外环外,202004,南,235,,34728,安阁苑
2室2厅1厨1卫,80.7,2020-03-06,精装,无,闵行,莘庄,外环外,202003,南 北,418,近5号线春申路站,51797,小富人家
3室2厅1厨1卫,99.4,2020-01-10,精装,有,浦东,御桥,中环至外环,202001,南,545,,54829,绿洲康城亲水湾(中央区)
2室1厅1厨1卫,63.42,2020-03-31,简装,无,徐汇,康健,内环至中环,202003,南,365,近1号线上海南站站,57553,寿山坊
1室0厅1厨1卫,28.13,2020-03-29,简装,无,静安,彭浦,中环至外环,202003,南,146,近1号线彭浦新村站,51902,彭新小区
3室2厅1厨2卫,96.74,2018-07-15,精装,有,浦东,碧云,内环至中环,201807,南 北,1100,近9号线蓝天路站,113707,金色碧云
4室2厅1厨2卫,197.07,2018-10-08,精装,有,浦东,陆家嘴,内环内,201810,西,1710,近9号线商城路站,86772,江临天下
4室2厅1厨3卫,246.89,2019-07-15,精装,有,浦东,碧云,内环至中环,201907,南,2080,近9号线蓝天路站,84249,碧云花园
