374#49491元/平米#凌云新村#徐汇 华东理工 内环至中环#近1号线锦江乐园站#房屋户型3室0厅1厨1卫#建筑面积75.57㎡#房屋朝向南#装修情况简装#配备电梯无#2020-01-15
480#52152元/平米#锦秋花园(公寓)#宝山 上大 中环至外环#近7号线上海大学站#房屋户型2室2厅1厨1卫#建筑面积92.04㎡#房屋朝向南#装修情况精装#配备电梯有#2020-01-17
206#39045元/平米#西郊景平苑#闵行 华漕 外环外##房屋户型1室1厅1厨1卫#建筑面积52.76㎡#房屋朝向南#装修情况精装#配备电梯有#2020-02-03
268#49148元/平米#黎明花园#闵行 七宝 外环外##房屋户型2室1厅1厨1卫#建筑面积54.53㎡#房屋朝向南#装修情况简装#配备电梯无#2020-02-22
450#30251元/平米#金榜家园#闵行 颛桥 外环外#近5号线北桥站#房屋户型3室2厅1厨2卫#建筑面积148.76㎡#房屋朝向南#装修情况简装#配备电梯有#2020-02-29
1350#85061元/平米#万源城朗郡#闵行 古美 中环至外环#近12号线东兰路站#房屋户型3室2厅1厨2卫#建筑面积158.71㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-07
359.6#36996元/平米#都市富苑#闵行 颛桥 外环外##房屋户型2室2厅1厨1卫#建筑面积97.2㎡#房屋朝向南 北#装修情况精装#配备电梯有#2020-03-07
478#70409元/平米#密二小区#虹口 曲阳 内环内#近8号线曲阳路站#房屋户型3室1厅1厨1卫#建筑面积67.89㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-07
649#67436元/平米#金沙雅苑(四期)#普陀 长征 中环至外环#近13号线祁连山南路站#房屋户型2室2厅1厨1卫#建筑面积96.24㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-09
375#41396元/平米#爱庐世纪新苑#闵行 颛桥 外环外##房屋户型2室2厅1厨1卫#建筑面积90.59㎡#房屋朝向南#装修情况简装#配备电梯有#2020-03-09
395#54386元/平米#加东花园#浦东 北蔡 内环至中环#近13号线北蔡站#房屋户型2室1厅1厨1卫#建筑面积72.63㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-11
349#62624元/平米#钦州花苑#徐汇 田林 内环至中环#近3号线宜山路站#房屋户型1室1厅1厨1卫#建筑面积55.73㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-13
325#44170元/平米#水岸金桥苑#嘉定 江桥 外环外##房屋户型2室2厅1厨1卫#建筑面积73.58㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-13
405#56446元/平米#平阳三街坊#闵行 古美 中环至外环#近12号线虹莘路站#房屋户型2室1厅1厨1卫#建筑面积71.75㎡#房屋朝向南#装修情况毛坯#配备电梯无#2020-03-16
410#58115元/平米#瑞冬小区#长宁 北新泾 中环至外环#近2号线淞虹路站#房屋户型2室1厅1厨1卫#建筑面积70.55㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-16
338#46448元/平米#绿川新苑#浦东 北蔡 内环至中环##房屋户型2室2厅1厨1卫#建筑面积72.77㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-19
218.9#38985元/平米#金沙鼎苑#嘉定 江桥 外环外##房屋户型1室1厅1厨1卫#建筑面积56.15㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-20
253#43293元/平米#中房公寓#嘉定 江桥 外环外##房屋户型1室1厅1厨1卫#建筑面积58.44㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-20
600#66741元/平米#陆家嘴锦绣里#浦东 北蔡 内环至中环#近13号线北蔡站#房屋户型2室2厅1厨1卫#建筑面积89.9㎡#房屋朝向东#装修情况精装#配备电梯有#2018-07-14
190#52112元/平米#曹杨九村#普陀 曹杨 内环至中环#近3号线金沙江路站#房屋户型1室1厅1厨1卫#建筑面积36.46㎡#房屋朝向南#装修情况简装#配备电梯无#2019-04-20
1349#92208元/平米#嘉嘉大楼#徐汇 建国西路 内环内#近1号线陕西南路站#房屋户型3室2厅1厨2卫#建筑面积146.3㎡#房屋朝向南#装修情况精装#配备电梯有#2019-04-21
648#59559元/平米#星河世纪城#普陀 真如 内环至中环##房屋户型2室2厅1厨1卫#建筑面积108.8㎡#房屋朝向南 北#装修情况精装#配备电梯有#2019-05-18
568#56687元/平米#大上海国际花园六区#闵行 静安新城 中环至外环#近9号线合川路站#房屋户型3室2厅1厨1卫#建筑面积100.2㎡#房屋朝向南#装修情况精装#配备电梯无#2019-05-28
